rpm,torque_N_m,efficiency
1734.63687151,40.1810544076,0.641520324957
1782.12290503,40.1810544076,0.643965001811
1829.60893855,40.1810544076,0.646238744413
1877.09497207,40.1810544076,0.648350608085
1924.58100559,40.1810544076,0.650308935529
1972.06703911,40.1810544076,0.652121428297
2019.55307263,40.1810544076,0.653795209856
2067.03910615,40.1810544076,0.655336881382
2114.52513966,40.1810544076,0.656752571243
2162.01117318,40.1810544076,0.658047978978
2209.4972067,40.1810544076,0.659228414481
2256.98324022,40.1810544076,0.660298832979
2304.46927374,40.1810544076,0.66126386632
2351.95530726,40.1810544076,0.662127851026
2399.44134078,40.1810544076,0.662894853471
2446.9273743,40.1810544076,0.66356869255
2494.41340782,40.1810544076,0.664152960092
2541.89944134,40.1810544076,0.664651039298
2589.38547486,40.1810544076,0.665066121409
2636.87150838,40.1810544076,0.665401220805
2684.3575419,40.1810544076,0.665659188691
2731.84357542,40.1810544076,0.665842725539
2779.32960894,40.1810544076,0.665954392394
2826.81564246,40.1810544076,0.665996621183
2874.30167598,40.1810544076,0.665971724105
2921.7877095,40.1810544076,0.665881902215
2969.27374302,40.1810544076,0.665729253268
3016.75977654,40.1810544076,0.665515778897
3064.24581006,40.1810544076,0.665243391195
3111.73184358,40.1810544076,0.664913918749
3159.21787709,40.1810544076,0.664529112187
3206.70391061,40.1810544076,0.664090649269
3254.18994413,40.1810544076,0.663600139581
3301.67597765,40.1810544076,0.663059128852
3349.16201117,40.1810544076,0.662469102937
3396.64804469,40.1810544076,0.661831491492
3444.13407821,40.1810544076,0.66114767137
3491.62011173,40.1810544076,0.660418969754
3539.10614525,40.1810544076,0.659646667067
3586.59217877,40.1810544076,0.658831999653
3634.07821229,40.1810544076,0.657976162272
3681.56424581,40.1810544076,0.657080310408
3729.05027933,40.1810544076,0.656145562414
3776.53631285,40.1810544076,0.655173001501
3824.02234637,40.1810544076,0.654163677592
3871.50837989,40.1810544076,0.653118609035
3918.99441341,40.1810544076,0.652038784216
3966.48044693,40.1810544076,0.650925163038
4013.96648045,40.1810544076,0.649778678323
4061.45251397,40.1810544076,0.648600237098
4108.93854749,40.1810544076,0.64739072181
4156.42458101,40.1810544076,0.646150991456
4203.91061453,40.1810544076,0.644881882635
4251.39664804,40.1810544076,0.643584210534
4298.88268156,40.1810544076,0.642258769857
4346.36871508,40.1810544076,0.640906335681
4393.8547486,40.1810544076,0.639527664269
4441.34078212,40.1810544076,0.63812349383
4488.82681564,40.1810544076,0.636694545226
4536.31284916,40.1810544076,0.635241522641
4583.79888268,40.1810544076,0.633765114209
4631.2849162,40.1810544076,0.632265992603
4678.77094972,40.1810544076,0.630744815585
4726.25698324,40.1810544076,0.62920222653
4773.74301676,40.1810544076,0.627638854917
4821.22905028,40.1810544076,0.626055316787
4868.7150838,40.1810544076,0.624452215183
4916.20111732,40.1810544076,0.622830140558
4963.68715084,40.1810544076,0.621189671165
5011.17318436,40.1810544076,0.619531373419
5058.65921788,40.1810544076,0.617855802251
5106.1452514,40.1810544076,0.616163501428
5153.63128492,40.1810544076,0.61445500387
5201.11731844,40.1810544076,0.612730831939
5248.60335196,40.1810544076,0.610991497722
5296.08938547,40.1810544076,0.609237503293
5343.57541899,40.1810544076,0.607469340969
5391.06145251,40.1810544076,0.605687493542
5438.54748603,40.1810544076,0.603892434517
5486.03351955,40.1810544076,0.602084628318
5533.51955307,40.1810544076,0.600264530504
5581.00558659,40.1810544076,0.598432587963
5628.49162011,40.1810544076,0.5965892391
5675.97765363,40.1810544076,0.594734914017
5723.46368715,40.1810544076,0.592870034691
5770.94972067,40.1810544076,0.590995015132
5818.43575419,40.1810544076,0.589110261549
5865.92178771,40.1810544076,0.587216172496
5913.40782123,40.1810544076,0.585313139026
5960.89385475,40.1810544076,0.583401544824
6008.37988827,40.1810544076,0.58148176635
6055.86592179,40.1810544076,0.579554172966
6103.35195531,40.1810544076,0.577619127062
6150.83798883,40.1810544076,0.575676984181
6198.32402235,40.1810544076,0.573728093138
6245.81005587,40.1810544076,0.571772796128
6293.29608939,40.1810544076,0.569811428844
6340.78212291,40.1810544076,0.567844320583
6388.26815642,40.1810544076,0.565871794348
6435.75418994,40.1810544076,0.56389416695
6483.24022346,40.1810544076,0.561911749109
6530.72625698,40.1810544076,0.559924845551
6578.2122905,40.1810544076,0.557933755098
6625.69832402,40.1810544076,0.555938770761
6673.18435754,40.1810544076,0.553940179832
6720.67039106,40.1810544076,0.551938263968
6768.15642458,40.1810544076,0.549933299279
6815.6424581,40.1810544076,0.547925556411
6863.12849162,40.1810544076,0.545915300625
6910.61452514,40.1810544076,0.543902791882
6958.10055866,40.1810544076,0.54188828492
7005.58659218,40.1810544076,0.539872029328
7053.0726257,40.1810544076,0.537854269629
7100.55865922,40.1810544076,0.535835245348
7148.04469274,40.1810544076,0.533815191089
7195.53072626,40.1810544076,0.531794336606
7243.01675978,40.1810544076,0.529772906873
7290.5027933,40.1810544076,0.527751122159
7337.98882682,40.1810544076,0.525729198091
7385.47486034,40.1810544076,0.523707345723
7432.96089385,40.1810544076,0.521685771607
7480.44692737,40.1810544076,0.519664677857
7527.93296089,40.1810544076,0.51764426221
7575.41899441,40.1810544076,0.5156247181
7622.90502793,40.1810544076,0.513606234711
7670.39106145,40.1810544076,0.511588997047
7717.87709497,40.1810544076,0.509573185991
7765.36312849,40.1810544076,0.507558978368
7812.84916201,40.1810544076,0.505546547005
7860.33519553,40.1810544076,0.503536060789
7907.82122905,40.1810544076,0.501527684728
7955.30726257,40.1810544076,0.499521580012
8002.79329609,40.1810544076,0.497517904064
8050.27932961,40.1810544076,0.495516810606
